"Part";"Value";"Device";"Package";"Description";"DIGIKEY";"DIGIKEY_LOW";"MANUFACTURER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNO";"SUPPLIER";"VALUE";
"C1";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C0603C104K5RAC7411";"";"Kemet";"";"";"";"";"C0603C104K5RAC7411";"";"";
"C2";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C0603C104K5RAC7411";"";"Kemet";"";"";"";"";"C0603C104K5RAC7411";"";"";
"C3";"1000pF/3kV";"C-EUC1808";"C1808";"CAPACITOR, European symbol";"399-7246-2-ND";"399-7246-6-ND";"Kemet";"";"";"";"";"C1808C102KHRACTU";"";"";
"C4";"1000pF/3kV";"C-EUC1808";"C1808";"CAPACITOR, European symbol";"399-7246-2-ND";"399-7246-6-ND";"Kemet";"";"";"";"";"C1808C102KHRACTU";"";"";
"C5";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-3118-2-ND";"399-3118-6-ND";"";"Kemet";"C0603C105K8PACTU";"";"";"";"";"";
"C6";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-3118-2-ND";"399-3118-6-ND";"";"Kemet";"C0603C105K8PACTU";"";"";"";"";"";
"C7";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C0603C104K5RAC7411";"";"Kemet";"";"";"";"";"C0603C104K5RAC7411";"";"";
"C8";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"C0603C104K5RAC7411";"";"Kemet";"";"";"";"";"C0603C104K5RAC7411";"";"";
"C31";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-3118-2-ND";"399-3118-6-ND";"";"Kemet";"C0603C105K8PACTU";"";"";"";"";"";
"C32";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-3118-2-ND";"399-3118-6-ND";"";"Kemet";"C0603C105K8PACTU";"";"";"";"";"";
"C50";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-7374-2-ND";"";"";"Kemet";"C0603C104K5RAC7411";"";"";"";"";"";
"C51";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"399-7374-2-ND";"";"";"Kemet";"C0603C104K5RAC7411";"";"";"";"";"";
